id,channel,io,value,datetime
6811144,0,0,15.64278,2023-08-31 00:31:34.000000
6811145,1,1,15.60167,2023-08-31 00:31:34.000000
6811146,1,0,15.58111,2023-08-31 00:31:34.000000
6811147,0,1,15.60167,2023-08-31 00:34:34.000000
6811148,0,0,15.64056,2023-08-31 00:34:34.000000
6811149,1,1,15.59389,2023-08-31 00:34:34.000000
6811150,1,0,15.57333,2023-08-31 00:34:34.000000
6811151,0,1,15.58667,2023-08-31 00:36:34.000000
6811152,0,0,15.62222,2023-08-31 00:36:34.000000
6811153,1,1,15.58111,2023-08-31 00:36:34.000000
6811154,1,0,15.56056,2023-08-31 00:36:34.000000
6811155,0,1,15.57611,2023-08-31 00:38:34.000000
6811156,0,0,15.61444,2023-08-31 00:38:34.000000
6811157,1,1,15.59167,2023-08-31 00:38:34.000000
6811158,1,0,15.56056,2023-08-31 00:38:34.000000
6811159,0,1,15.56333,2023-08-31 00:40:34.000000
6811160,0,0,15.60722,2023-08-31 00:40:34.000000
6811161,1,1,15.58111,2023-08-31 00:40:34.000000
6811162,1,0,15.56833,2023-08-31 00:40:34.000000
6811163,0,1,15.56833,2023-08-31 00:41:34.000000
6811164,0,0,15.60444,2023-08-31 00:41:34.000000
6811165,1,1,15.57889,2023-08-31 00:41:34.000000
6811166,1,0,15.55556,2023-08-31 00:41:34.000000
6811167,0,1,15.56833,2023-08-31 00:44:37.000000
6811168,0,0,15.60722,2023-08-31 00:44:37.000000
6811169,1,1,15.55833,2023-08-31 00:44:37.000000
6811170,1,0,15.545,2023-08-31 00:44:37.000000
6811171,0,1,15.56333,2023-08-31 00:45:37.000000
6811172,0,0,15.60444,2023-08-31 00:45:37.000000
6811173,1,1,15.55056,2023-08-31 00:45:37.000000
6811174,1,0,15.54,2023-08-31 00:45:37.000000
6811175,0,1,15.55278,2023-08-31 00:48:37.000000
6811176,0,0,15.60444,2023-08-31 00:48:37.000000
6811177,1,1,15.55056,2023-08-31 00:48:37.000000
6811178,1,0,15.535,2023-08-31 00:48:37.000000
6811179,0,1,15.55556,2023-08-31 00:50:37.000000
6811180,0,0,15.59167,2023-08-31 00:50:37.000000
6811181,1,1,15.545,2023-08-31 00:50:37.000000
6811182,1,0,15.54,2023-08-31 00:50:37.000000
6811183,0,1,15.56556,2023-08-31 00:52:41.000000
6811184,0,0,15.60444,2023-08-31 00:52:41.000000
6811185,1,1,15.56333,2023-08-31 00:52:41.000000
6811186,1,0,15.535,2023-08-31 00:52:41.000000
6811187,0,1,15.55278,2023-08-31 00:54:43.000000
6811188,0,0,15.58389,2023-08-31 00:54:43.000000
6811189,1,1,15.545,2023-08-31 00:54:43.000000
6811190,1,0,15.53778,2023-08-31 00:54:43.000000
6811191,0,1,15.57611,2023-08-31 00:55:44.000000
6811192,0,0,15.60944,2023-08-31 00:55:44.000000
6811193,1,1,15.54778,2023-08-31 00:55:44.000000
6811194,1,0,15.545,2023-08-31 00:55:44.000000
6811195,0,1,15.59167,2023-08-31 00:58:49.000000
6811196,0,0,15.62778,2023-08-31 00:58:49.000000
6811197,1,1,15.60167,2023-08-31 00:58:49.000000
6811198,1,0,15.56833,2023-08-31 00:58:49.000000
6811199,0,1,15.58111,2023-08-31 00:59:50.000000
6811200,0,0,15.62222,2023-08-31 00:59:50.000000
6811201,1,1,15.57611,2023-08-31 00:59:50.000000
6811202,1,0,15.56056,2023-08-31 00:59:50.000000
6811203,0,1,15.58111,2023-08-31 01:02:53.000000
6811204,0,0,15.62778,2023-08-31 01:02:53.000000
6811205,1,1,15.59667,2023-08-31 01:02:53.000000
6811206,1,0,15.57111,2023-08-31 01:02:53.000000
6811207,0,1,15.59167,2023-08-31 01:03:53.000000
6811208,0,0,15.635,2023-08-31 01:03:53.000000
6811209,1,1,15.59389,2023-08-31 01:03:53.000000
6811210,1,0,15.57611,2023-08-31 01:03:53.000000
6811211,0,1,15.60722,2023-08-31 01:06:56.000000
6811212,0,0,15.63778,2023-08-31 01:06:56.000000
6811213,1,1,15.59667,2023-08-31 01:06:56.000000
6811214,1,0,15.58667,2023-08-31 01:06:56.000000
6811215,0,1,15.61222,2023-08-31 01:08:56.000000
6811216,0,0,15.65056,2023-08-31 01:08:56.000000
6811217,1,1,15.62222,2023-08-31 01:08:56.000000
6811218,1,0,15.59667,2023-08-31 01:08:56.000000
6811219,0,1,15.60944,2023-08-31 01:10:56.000000
6811220,0,0,15.64833,2023-08-31 01:10:56.000000
6811221,1,1,15.58889,2023-08-31 01:10:56.000000
6811222,1,0,15.58667,2023-08-31 01:10:56.000000
6811223,0,1,15.60722,2023-08-31 01:12:56.000000
6811224,0,0,15.65555,2023-08-31 01:12:56.000000
6811225,1,1,15.61444,2023-08-31 01:12:56.000000
6811226,1,0,15.58667,2023-08-31 01:12:56.000000
6811227,0,1,15.625,2023-08-31 01:13:56.000000
6811228,0,0,15.65833,2023-08-31 01:13:56.000000
6811229,1,1,15.59944,2023-08-31 01:13:56.000000
6811230,1,0,15.59389,2023-08-31 01:13:56.000000
6811231,0,1,15.61222,2023-08-31 01:16:56.000000
6811232,0,0,15.65333,2023-08-31 01:16:56.000000
6811233,1,1,15.60444,2023-08-31 01:16:56.000000
6811234,1,0,15.60444,2023-08-31 01:16:56.000000
6811235,0,1,15.625,2023-08-31 01:17:56.000000
6811236,0,0,15.66111,2023-08-31 01:17:56.000000
6811237,1,1,15.625,2023-08-31 01:17:56.000000
6811238,1,0,15.60167,2023-08-31 01:17:56.000000
6811239,0,1,15.60444,2023-08-31 01:20:56.000000
6811240,0,0,15.64556,2023-08-31 01:20:56.000000
6811241,1,1,15.60167,2023-08-31 01:20:56.000000
6811242,1,0,15.57889,2023-08-31 01:20:56.000000
6811243,0,1,15.60444,2023-08-31 01:22:56.000000
6811244,0,0,15.64833,2023-08-31 01:22:56.000000
6811245,1,1,15.58667,2023-08-31 01:22:56.000000
6811246,1,0,15.57333,2023-08-31 01:22:56.000000
6811247,0,1,15.59167,2023-08-31 01:24:56.000000
6811248,0,0,15.63778,2023-08-31 01:24:56.000000
6811249,1,1,15.60444,2023-08-31 01:24:56.000000
6811250,1,0,15.57611,2023-08-31 01:24:56.000000
6811251,0,1,15.60722,2023-08-31 01:26:56.000000
6811252,0,0,15.64278,2023-08-31 01:26:56.000000
6811253,1,1,15.58889,2023-08-31 01:26:56.000000
6811254,1,0,15.58111,2023-08-31 01:26:56.000000
6811255,0,1,15.60722,2023-08-31 01:27:56.000000
6811256,0,0,15.64556,2023-08-31 01:27:56.000000
6811257,1,1,15.59944,2023-08-31 01:27:56.000000
6811258,1,0,15.58389,2023-08-31 01:27:56.000000
6811259,0,1,15.60444,2023-08-31 01:30:56.000000
6811260,0,0,15.625,2023-08-31 01:30:56.000000
6811261,1,1,15.59944,2023-08-31 01:30:56.000000
6811262,1,0,15.58111,2023-08-31 01:30:56.000000
6811263,0,1,15.59667,2023-08-31 01:31:56.000000
6811264,0,0,15.63778,2023-08-31 01:31:56.000000
6811265,1,1,15.59944,2023-08-31 01:31:56.000000
6811266,1,0,15.57889,2023-08-31 01:31:56.000000
6811267,0,1,15.59389,2023-08-31 01:34:56.000000
6811268,0,0,15.63278,2023-08-31 01:34:56.000000
6811269,1,1,15.59167,2023-08-31 01:34:56.000000
6811270,1,0,15.57111,2023-08-31 01:34:56.000000
6811271,0,1,15.59944,2023-08-31 01:35:56.000000
6811272,0,0,15.635,2023-08-31 01:35:56.000000
6811273,1,1,15.58667,2023-08-31 01:35:56.000000
6811274,1,0,15.57611,2023-08-31 01:35:56.000000
6811275,0,1,15.62,2023-08-31 01:38:56.000000
6811276,0,0,15.67389,2023-08-31 01:38:56.000000
6811277,1,1,15.60167,2023-08-31 01:38:56.000000
6811278,1,0,15.59667,2023-08-31 01:38:56.000000
6811279,0,1,15.59667,2023-08-31 01:40:56.000000
6811280,0,0,15.65056,2023-08-31 01:40:56.000000
6811281,1,1,15.60444,2023-08-31 01:40:56.000000
6811282,1,0,15.58667,2023-08-31 01:40:56.000000
6811283,0,1,15.61222,2023-08-31 01:41:56.000000
6811284,0,0,15.64556,2023-08-31 01:41:56.000000
6811285,1,1,15.59167,2023-08-31 01:41:56.000000
6811286,1,0,15.59389,2023-08-31 01:41:56.000000
6811287,0,1,15.59944,2023-08-31 01:44:56.000000
6811288,0,0,15.63778,2023-08-31 01:44:56.000000
6811289,1,1,15.59167,2023-08-31 01:44:56.000000
6811290,1,0,15.58389,2023-08-31 01:44:56.000000
6811291,0,1,15.60167,2023-08-31 01:45:56.000000
6811292,0,0,15.64278,2023-08-31 01:45:56.000000
6811293,1,1,15.58389,2023-08-31 01:45:56.000000
6811294,1,0,15.58111,2023-08-31 01:45:56.000000
6811295,0,1,15.59667,2023-08-31 01:48:56.000000
6811296,0,0,15.635,2023-08-31 01:48:56.000000
6811297,1,1,15.60444,2023-08-31 01:48:56.000000
6811298,1,0,15.58667,2023-08-31 01:48:56.000000
6811299,0,1,15.60722,2023-08-31 01:49:56.000000
6811300,0,0,15.65333,2023-08-31 01:49:56.000000
6811301,1,1,15.58667,2023-08-31 01:49:56.000000
6811302,1,0,15.58389,2023-08-31 01:49:56.000000
6811303,0,1,15.60722,2023-08-31 01:51:56.000000
6811304,0,0,15.65056,2023-08-31 01:51:56.000000
6811305,1,1,15.60944,2023-08-31 01:51:56.000000
6811306,1,0,15.59167,2023-08-31 01:51:56.000000
6811307,0,1,15.59389,2023-08-31 01:54:56.000000
6811308,0,0,15.635,2023-08-31 01:54:56.000000
6811309,1,1,15.57333,2023-08-31 01:54:56.000000
6811310,1,0,15.55833,2023-08-31 01:54:56.000000
6811311,0,1,15.59944,2023-08-31 01:55:56.000000
6811312,0,0,15.63778,2023-08-31 01:55:56.000000
6811313,1,1,15.58889,2023-08-31 01:55:56.000000
6811314,1,0,15.57333,2023-08-31 01:55:56.000000
6811315,0,1,15.58111,2023-08-31 01:58:56.000000
6811316,0,0,15.63,2023-08-31 01:58:56.000000
6811317,1,1,15.59667,2023-08-31 01:58:56.000000
6811318,1,0,15.57333,2023-08-31 01:58:56.000000
6811319,0,1,15.60167,2023-08-31 01:59:56.000000
6811320,0,0,15.635,2023-08-31 01:59:56.000000
6811321,1,1,15.57333,2023-08-31 01:59:56.000000
6811322,1,0,15.56333,2023-08-31 01:59:56.000000
6811323,0,1,15.58667,2023-08-31 02:02:56.000000
6811324,0,0,15.63,2023-08-31 02:02:56.000000
6811325,1,1,15.57611,2023-08-31 02:02:56.000000
6811326,1,0,15.55056,2023-08-31 02:02:56.000000
6811327,0,1,15.58389,2023-08-31 02:03:56.000000
6811328,0,0,15.62,2023-08-31 02:03:56.000000
6811329,1,1,15.56333,2023-08-31 02:03:56.000000
6811330,1,0,15.55278,2023-08-31 02:03:56.000000
6811331,0,1,15.56333,2023-08-31 02:05:56.000000
6811332,0,0,15.59389,2023-08-31 02:05:56.000000
6811333,1,1,15.55556,2023-08-31 02:05:56.000000
6811334,1,0,15.54778,2023-08-31 02:05:56.000000
6811335,0,1,15.58389,2023-08-31 02:07:56.000000
6811336,0,0,15.61444,2023-08-31 02:07:56.000000
6811337,1,1,15.56556,2023-08-31 02:07:56.000000
6811338,1,0,15.55833,2023-08-31 02:07:56.000000
6811339,0,1,15.57111,2023-08-31 02:09:56.000000
6811340,0,0,15.59667,2023-08-31 02:09:56.000000
6811341,1,1,15.55278,2023-08-31 02:09:56.000000
6811342,1,0,15.535,2023-08-31 02:09:56.000000
6811343,0,1,15.56056,2023-08-31 02:12:56.000000
6811344,0,0,15.59667,2023-08-31 02:12:56.000000
6811345,1,1,15.55278,2023-08-31 02:12:56.000000
6811346,1,0,15.535,2023-08-31 02:12:56.000000
6811347,0,1,15.56556,2023-08-31 02:13:56.000000
6811348,0,0,15.59667,2023-08-31 02:13:56.000000
6811349,1,1,15.535,2023-08-31 02:13:56.000000
6811350,1,0,15.53778,2023-08-31 02:13:56.000000
6811351,0,1,15.55556,2023-08-31 02:16:56.000000
6811352,0,0,15.58889,2023-08-31 02:16:56.000000
6811353,1,1,15.54278,2023-08-31 02:16:56.000000
6811354,1,0,15.53222,2023-08-31 02:16:56.000000
6811355,0,1,15.55056,2023-08-31 02:17:56.000000
6811356,0,0,15.59167,2023-08-31 02:17:56.000000
6811357,1,1,15.55056,2023-08-31 02:17:56.000000
6811358,1,0,15.53222,2023-08-31 02:17:56.000000
6811359,0,1,15.57611,2023-08-31 02:19:56.000000
6811360,0,0,15.61222,2023-08-31 02:19:56.000000
6811361,1,1,15.56333,2023-08-31 02:19:56.000000
6811362,1,0,15.54778,2023-08-31 02:19:56.000000
6811363,0,1,15.57333,2023-08-31 02:21:56.000000
6811364,0,0,15.61444,2023-08-31 02:21:56.000000
6811365,1,1,15.55833,2023-08-31 02:21:56.000000
6811366,1,0,15.545,2023-08-31 02:21:56.000000
6811367,0,1,15.58389,2023-08-31 02:23:56.000000
6811368,0,0,15.62222,2023-08-31 02:23:56.000000
6811369,1,1,15.57111,2023-08-31 02:23:56.000000
6811370,1,0,15.55556,2023-08-31 02:23:56.000000
6811371,0,1,15.58111,2023-08-31 02:25:56.000000
6811372,0,0,15.625,2023-08-31 02:25:56.000000
6811373,1,1,15.58889,2023-08-31 02:25:56.000000
6811374,1,0,15.56556,2023-08-31 02:25:56.000000
6811375,0,1,15.59389,2023-08-31 02:26:56.000000
6811376,0,0,15.63778,2023-08-31 02:26:56.000000
6811377,1,1,15.58667,2023-08-31 02:26:56.000000
6811378,1,0,15.58111,2023-08-31 02:26:56.000000
6811379,0,1,15.60722,2023-08-31 02:30:56.000000
6811380,0,0,15.65056,2023-08-31 02:30:56.000000
6811381,1,1,15.60444,2023-08-31 02:30:56.000000
6811382,1,0,15.58111,2023-08-31 02:30:56.000000
6811383,0,1,15.60722,2023-08-31 02:31:56.000000
6811384,0,0,15.64833,2023-08-31 02:31:56.000000
6811385,1,1,15.59944,2023-08-31 02:31:56.000000
6811386,1,0,15.58667,2023-08-31 02:31:56.000000
6811387,0,1,15.59667,2023-08-31 02:33:56.000000
6811388,0,0,15.64056,2023-08-31 02:33:56.000000
6811389,1,1,15.60722,2023-08-31 02:33:56.000000
6811390,1,0,15.58667,2023-08-31 02:33:56.000000
6811391,0,1,15.61722,2023-08-31 02:35:56.000000
6811392,0,0,15.65833,2023-08-31 02:35:56.000000
6811393,1,1,15.60944,2023-08-31 02:35:56.000000
6811394,1,0,15.59667,2023-08-31 02:35:56.000000
6811395,0,1,15.60944,2023-08-31 02:37:56.000000
6811396,0,0,15.64556,2023-08-31 02:37:56.000000
6811397,1,1,15.60167,2023-08-31 02:37:56.000000
6811398,1,0,15.58111,2023-08-31 02:37:56.000000
6811399,0,1,15.61722,2023-08-31 02:39:56.000000
6811400,0,0,15.66111,2023-08-31 02:39:56.000000
6811401,1,1,15.60944,2023-08-31 02:39:56.000000
6811402,1,0,15.59944,2023-08-31 02:39:56.000000
6811403,0,1,15.62778,2023-08-31 02:40:56.000000
6811404,0,0,15.66611,2023-08-31 02:40:56.000000
6811405,1,1,15.60944,2023-08-31 02:40:56.000000
6811406,1,0,15.58667,2023-08-31 02:40:56.000000
6811407,0,1,15.59389,2023-08-31 02:44:56.000000
6811408,0,0,15.635,2023-08-31 02:44:56.000000
6811409,1,1,15.59167,2023-08-31 02:44:56.000000
6811410,1,0,15.56556,2023-08-31 02:44:56.000000
6811411,0,1,15.59667,2023-08-31 02:45:56.000000
6811412,0,0,15.63778,2023-08-31 02:45:56.000000
6811413,1,1,15.60444,2023-08-31 02:45:56.000000
6811414,1,0,15.58389,2023-08-31 02:45:56.000000
6811415,0,1,15.60167,2023-08-31 02:47:56.000000
6811416,0,0,15.64278,2023-08-31 02:47:56.000000
6811417,1,1,15.59389,2023-08-31 02:47:56.000000
6811418,1,0,15.57333,2023-08-31 02:47:56.000000
6811419,0,1,15.59167,2023-08-31 02:49:56.000000
6811420,0,0,15.64056,2023-08-31 02:49:56.000000
6811421,1,1,15.58111,2023-08-31 02:49:56.000000
6811422,1,0,15.55278,2023-08-31 02:49:56.000000
6811423,0,1,15.60167,2023-08-31 02:51:56.000000
6811424,0,0,15.64278,2023-08-31 02:51:56.000000
6811425,1,1,15.58889,2023-08-31 02:51:56.000000
6811426,1,0,15.58389,2023-08-31 02:51:56.000000
6811427,0,1,15.59667,2023-08-31 02:53:56.000000
6811428,0,0,15.64278,2023-08-31 02:53:56.000000
6811429,1,1,15.57333,2023-08-31 02:53:56.000000
6811430,1,0,15.56833,2023-08-31 02:53:56.000000
6811431,0,1,15.59944,2023-08-31 02:54:56.000000
6811432,0,0,15.635,2023-08-31 02:54:56.000000
6811433,1,1,15.59389,2023-08-31 02:54:56.000000
6811434,1,0,15.57333,2023-08-31 02:54:56.000000
6811435,0,1,15.59389,2023-08-31 02:57:56.000000
6811436,0,0,15.63278,2023-08-31 02:57:56.000000
6811437,1,1,15.57111,2023-08-31 02:57:56.000000
6811438,1,0,15.55833,2023-08-31 02:57:56.000000
6811439,0,1,15.56333,2023-08-31 02:58:56.000000
6811440,0,0,15.60444,2023-08-31 02:58:56.000000
6811441,1,1,15.58111,2023-08-31 02:58:56.000000
6811442,1,0,15.55056,2023-08-31 02:58:56.000000
6811443,0,1,15.59167,2023-08-31 03:01:56.000000
6811444,0,0,15.63,2023-08-31 03:01:56.000000
6811445,1,1,15.57889,2023-08-31 03:01:56.000000
6811446,1,0,15.57111,2023-08-31 03:01:56.000000
6811447,0,1,15.57889,2023-08-31 03:03:56.000000
6811448,0,0,15.625,2023-08-31 03:03:56.000000
6811449,1,1,15.57889,2023-08-31 03:03:56.000000
6811450,1,0,15.56556,2023-08-31 03:03:56.000000
6811451,0,1,15.58111,2023-08-31 03:05:56.000000
6811452,0,0,15.62222,2023-08-31 03:05:56.000000
6811453,1,1,15.57611,2023-08-31 03:05:56.000000
6811454,1,0,15.56833,2023-08-31 03:05:56.000000
6811455,0,1,15.57333,2023-08-31 03:07:56.000000
6811456,0,0,15.61222,2023-08-31 03:07:56.000000
6811457,1,1,15.55833,2023-08-31 03:07:56.000000
6811458,1,0,15.55278,2023-08-31 03:07:56.000000
6811459,0,1,15.56056,2023-08-31 03:08:56.000000
6811460,0,0,15.59167,2023-08-31 03:08:56.000000
6811461,1,1,15.55833,2023-08-31 03:08:56.000000
6811462,1,0,15.53778,2023-08-31 03:08:56.000000
6811463,0,1,15.57333,2023-08-31 03:11:56.000000
6811464,0,0,15.61722,2023-08-31 03:11:56.000000
6811465,1,1,15.56556,2023-08-31 03:11:56.000000
6811466,1,0,15.54,2023-08-31 03:11:56.000000
6811467,0,1,15.56056,2023-08-31 03:12:56.000000
6811468,0,0,15.60444,2023-08-31 03:12:56.000000
6811469,1,1,15.56333,2023-08-31 03:12:56.000000
6811470,1,0,15.54278,2023-08-31 03:12:56.000000
6811471,0,1,15.56333,2023-08-31 03:15:56.000000
6811472,0,0,15.60722,2023-08-31 03:15:56.000000
6811473,1,1,15.55278,2023-08-31 03:15:56.000000
6811474,1,0,15.54278,2023-08-31 03:15:56.000000
6811475,0,1,15.55833,2023-08-31 03:17:56.000000
6811476,0,0,15.60444,2023-08-31 03:17:56.000000
6811477,1,1,15.55056,2023-08-31 03:17:56.000000
6811478,1,0,15.53,2023-08-31 03:17:56.000000
6811479,0,1,15.55556,2023-08-31 03:18:56.000000
6811480,0,0,15.58667,2023-08-31 03:18:56.000000
6811481,1,1,15.545,2023-08-31 03:18:56.000000
6811482,1,0,15.535,2023-08-31 03:18:56.000000
6811483,0,1,15.57333,2023-08-31 03:21:56.000000
6811484,0,0,15.61222,2023-08-31 03:21:56.000000
6811485,1,1,15.57611,2023-08-31 03:21:56.000000
6811486,1,0,15.56333,2023-08-31 03:21:56.000000
6811487,0,1,15.57611,2023-08-31 03:22:56.000000
6811488,0,0,15.61222,2023-08-31 03:22:56.000000
6811489,1,1,15.56333,2023-08-31 03:22:56.000000
6811490,1,0,15.55556,2023-08-31 03:22:56.000000
6811491,0,1,15.57333,2023-08-31 03:25:56.000000
6811492,0,0,15.61222,2023-08-31 03:25:56.000000
6811493,1,1,15.60167,2023-08-31 03:25:56.000000
6811494,1,0,15.58389,2023-08-31 03:25:56.000000
6811495,0,1,15.61222,2023-08-31 03:26:56.000000
6811496,0,0,15.65056,2023-08-31 03:26:56.000000
6811497,1,1,15.58111,2023-08-31 03:26:56.000000
6811498,1,0,15.56556,2023-08-31 03:26:56.000000
6811499,0,1,15.60167,2023-08-31 03:29:56.000000
6811500,0,0,15.64278,2023-08-31 03:29:56.000000
6811501,1,1,15.60444,2023-08-31 03:29:56.000000
6811502,1,0,15.58889,2023-08-31 03:29:56.000000
6811503,0,1,15.60167,2023-08-31 03:31:56.000000
6811504,0,0,15.63778,2023-08-31 03:31:56.000000
6811505,1,1,15.60944,2023-08-31 03:31:56.000000
6811506,1,0,15.59167,2023-08-31 03:31:56.000000
6811507,0,1,15.60167,2023-08-31 03:32:56.000000
6811508,0,0,15.64056,2023-08-31 03:32:56.000000
6811509,1,1,15.58889,2023-08-31 03:32:56.000000
6811510,1,0,15.58111,2023-08-31 03:32:56.000000
6811511,0,1,15.60944,2023-08-31 03:35:56.000000
6811512,0,0,15.65056,2023-08-31 03:35:56.000000
6811513,1,1,15.59667,2023-08-31 03:35:56.000000
6811514,1,0,15.58889,2023-08-31 03:35:56.000000
6811515,0,1,15.61722,2023-08-31 03:36:56.000000
6811516,0,0,15.65833,2023-08-31 03:36:56.000000
6811517,1,1,15.60444,2023-08-31 03:36:56.000000
6811518,1,0,15.58667,2023-08-31 03:36:56.000000
6811519,0,1,15.60722,2023-08-31 03:39:56.000000
6811520,0,0,15.64556,2023-08-31 03:39:56.000000
6811521,1,1,15.59167,2023-08-31 03:39:56.000000
6811522,1,0,15.58389,2023-08-31 03:39:56.000000
6811523,0,1,15.60167,2023-08-31 03:40:56.000000
6811524,0,0,15.65555,2023-08-31 03:40:56.000000
6811525,1,1,15.60444,2023-08-31 03:40:56.000000
6811526,1,0,15.58667,2023-08-31 03:40:56.000000
6811527,0,1,15.61222,2023-08-31 03:43:56.000000
6811528,0,0,15.64833,2023-08-31 03:43:56.000000
6811529,1,1,15.60167,2023-08-31 03:43:56.000000
6811530,1,0,15.58667,2023-08-31 03:43:56.000000
6811531,0,1,15.59944,2023-08-31 03:44:56.000000
6811532,0,0,15.64556,2023-08-31 03:44:56.000000
6811533,1,1,15.60944,2023-08-31 03:44:56.000000
6811534,1,0,15.61222,2023-08-31 03:44:56.000000
6811535,0,1,15.59389,2023-08-31 03:46:56.000000
6811536,0,0,15.635,2023-08-31 03:46:56.000000
6811537,1,1,15.60444,2023-08-31 03:46:56.000000
6811538,1,0,15.59167,2023-08-31 03:46:56.000000
6811539,0,1,15.60167,2023-08-31 03:49:56.000000
6811540,0,0,15.64833,2023-08-31 03:49:56.000000
6811541,1,1,15.58667,2023-08-31 03:49:56.000000
6811542,1,0,15.57333,2023-08-31 03:49:56.000000
6811543,0,1,15.59389,2023-08-31 03:50:56.000000
6811544,0,0,15.63278,2023-08-31 03:50:56.000000
6811545,1,1,15.57889,2023-08-31 03:50:56.000000
6811546,1,0,15.55833,2023-08-31 03:50:56.000000
6811547,0,1,15.59667,2023-08-31 03:53:56.000000
6811548,0,0,15.635,2023-08-31 03:53:56.000000
6811549,1,1,15.58889,2023-08-31 03:53:56.000000
6811550,1,0,15.57111,2023-08-31 03:53:56.000000
6811551,0,1,15.57333,2023-08-31 03:54:56.000000
6811552,0,0,15.61722,2023-08-31 03:54:56.000000
6811553,1,1,15.57333,2023-08-31 03:54:56.000000
6811554,1,0,15.55833,2023-08-31 03:54:56.000000
6811555,0,1,15.57611,2023-08-31 03:57:56.000000
6811556,0,0,15.61722,2023-08-31 03:57:56.000000
6811557,1,1,15.58389,2023-08-31 03:57:56.000000
